month,adj_close
"=""2023-06""",362.98147580
"=""2023-07""",377.51000980
"=""2023-08""",371.91152950
"=""2023-09""",352.50860600
"=""2023-10""",345.72741700
"=""2023-11""",383.13104250
"=""2023-12""",403.51773070
"=""2024-01""",411.89569090
"=""2024-02""",433.65765380
"=""2024-03""",438.60672000
"=""2024-04""",419.97760010
"=""2024-05""",445.81387330
"=""2024-06""",473.90536500
"=""2024-07""",466.69332890
"=""2024-08""",471.84500120
"=""2024-09""",483.53536990
"=""2024-10""",480.02819820
"=""2024-11""",505.71365360
"=""2024-12""",507.19195560
"=""2025-01""",519.00012210
"=""2025-02""",504.96905520
"=""2025-03""",465.96627810
"=""2025-04""",473.17959600
"=""2025-05""",516.60937500
"=""2025-06""",548.98266600
"=""2025-07""",562.91973880
"=""2025-08""",568.28985600
"=""2025-09""",598.14898680
"=""2025-10""",627.46942140
"=""2025-11""",617.67431640
"=""2025-12""",612.74688720
"=""2026-01""",621.08685300
"=""2026-02""",606.52520750
"=""2026-03""",576.45312500
