month,adj_close
"=""2023-06""",91.05505371
"=""2023-07""",88.73390198
"=""2023-08""",85.94168854
"=""2023-09""",79.08916473
"=""2023-10""",74.75588226
"=""2023-11""",82.15274048
"=""2023-12""",89.02528381
"=""2024-01""",87.58338928
"=""2024-02""",85.33625031
"=""2024-03""",86.01078033
"=""2024-04""",80.44507599
"=""2024-05""",82.75140381
"=""2024-06""",84.26239777
"=""2024-07""",87.34162140
"=""2024-08""",89.17198944
"=""2024-09""",90.96213531
"=""2024-10""",86.00221252
"=""2024-11""",87.69869232
"=""2024-12""",81.77692413
"=""2025-01""",82.78537750
"=""2025-02""",87.19065094
"=""2025-03""",86.17637634
"=""2025-04""",84.96614838
"=""2025-05""",82.23120880
"=""2025-06""",84.41824341
"=""2025-07""",83.45552826
"=""2025-08""",83.45846558
"=""2025-09""",86.45722198
"=""2025-10""",87.67932892
"=""2025-11""",87.90656281
"=""2025-12""",85.24127960
"=""2026-01""",85.84902954
"=""2026-02""",89.48478699
"=""2026-03""",85.74221802
