month,adj_close
"=""1999-12""",77.19820000
"=""2000-01""",75.76240000
"=""2000-02""",90.16320000
"=""2000-03""",92.48590000
"=""2000-04""",80.02770000
"=""2000-05""",70.52580000
"=""2000-06""",78.92130000
"=""2000-07""",75.54280000
"=""2000-08""",86.15120000
"=""2000-09""",74.96000000
"=""2000-10""",69.00540000
"=""2000-11""",53.19420000
"=""2000-12""",49.30890000
"=""2001-01""",54.30910000
"=""2001-02""",40.07720000
"=""2001-03""",33.06690000
"=""2001-04""",38.97920000
"=""2001-05""",37.77980000
"=""2001-06""",38.59910000
"=""2001-07""",35.27130000
"=""2001-08""",30.54990000
"=""2001-09""",24.47710000
"=""2001-10""",28.63260000
"=""2001-11""",33.48920000
"=""2001-12""",32.86420000
"=""2002-01""",32.52630000
"=""2002-02""",28.53130000
"=""2002-03""",30.45700000
"=""2002-04""",26.79980000
"=""2002-05""",25.37240000
"=""2002-06""",22.04460000
"=""2002-07""",20.14420000
"=""2002-08""",19.84010000
"=""2002-09""",17.50050000
"=""2002-10""",20.73540000
"=""2002-11""",23.41290000
"=""2002-12""",20.58340000
"=""2003-01""",20.64250000
"=""2003-02""",21.25060000
"=""2003-03""",21.32660000
"=""2003-04""",23.18480000
"=""2003-05""",25.16120000
"=""2003-06""",25.29640000
"=""2003-07""",26.85890000
"=""2003-08""",28.20190000
"=""2003-09""",27.38260000
"=""2003-10""",29.71370000
"=""2003-11""",29.88260000
"=""2003-12""",30.80650000
"=""2004-01""",31.32190000
"=""2004-02""",30.89940000
"=""2004-03""",30.28260000
"=""2004-04""",29.37850000
"=""2004-05""",30.88250000
"=""2004-06""",31.88800000
"=""2004-07""",29.47990000
"=""2004-08""",28.74480000
"=""2004-09""",29.69120000
"=""2004-10""",31.17830000
"=""2004-11""",33.05400000
"=""2004-12""",34.04920000
"=""2005-01""",31.90380000
"=""2005-02""",31.75020000
"=""2005-03""",31.19580000
"=""2005-04""",29.83940000
"=""2005-05""",32.48390000
"=""2005-06""",31.40370000
"=""2005-07""",33.79010000
"=""2005-08""",33.28210000
"=""2005-09""",33.69200000
"=""2005-10""",33.18820000
"=""2005-11""",35.21180000
"=""2005-12""",34.58870000
"=""2006-01""",35.94790000
"=""2006-02""",35.17760000
"=""2006-03""",35.91310000
"=""2006-04""",35.84460000
"=""2006-05""",33.24940000
"=""2006-06""",33.22890000
"=""2006-07""",31.79750000
"=""2006-08""",33.31460000
"=""2006-09""",34.86050000
"=""2006-10""",36.51560000
"=""2006-11""",37.76770000
"=""2006-12""",37.05840000
"=""2007-01""",37.83980000
"=""2007-02""",37.20440000
"=""2007-03""",37.39940000
"=""2007-04""",39.48720000
"=""2007-05""",40.73290000
"=""2007-06""",40.92780000
"=""2007-07""",40.86760000
"=""2007-08""",42.01980000
"=""2007-09""",44.22660000
"=""2007-10""",47.34080000
"=""2007-11""",44.14060000
"=""2007-12""",44.10850000
"=""2008-01""",38.86400000
"=""2008-02""",36.98670000
"=""2008-03""",37.67820000
"=""2008-04""",40.68590000
"=""2008-05""",43.09900000
"=""2008-06""",38.95610000
"=""2008-07""",39.20620000
"=""2008-08""",39.77540000
"=""2008-09""",33.57920000
"=""2008-10""",28.38400000
"=""2008-11""",25.13050000
"=""2008-12""",25.70290000
"=""2009-01""",25.11520000
"=""2009-02""",23.79290000
"=""2009-03""",26.24800000
"=""2009-04""",29.67620000
"=""2009-05""",30.62850000
"=""2009-06""",31.53240000
"=""2009-07""",34.19340000
"=""2009-08""",34.69610000
"=""2009-09""",36.65540000
"=""2009-10""",35.53630000
"=""2009-11""",37.79200000
"=""2009-12""",39.76130000
"=""2010-01""",37.18870000
"=""2010-02""",38.90090000
"=""2010-03""",41.90120000
"=""2010-04""",42.83860000
"=""2010-05""",39.67390000
"=""2010-06""",37.23000000
"=""2010-07""",39.93230000
"=""2010-08""",37.88380000
"=""2010-09""",42.87340000
"=""2010-10""",45.59070000
"=""2010-11""",45.50770000
"=""2010-12""",47.67730000
"=""2011-01""",49.02550000
"=""2011-02""",50.57410000
"=""2011-03""",50.34840000
"=""2011-04""",51.79490000
"=""2011-05""",51.16370000
"=""2011-06""",50.12760000
"=""2011-07""",50.96230000
"=""2011-08""",48.37900000
"=""2011-09""",46.20590000
"=""2011-10""",51.01220000
"=""2011-11""",49.63900000
"=""2011-12""",49.28980000
"=""2012-01""",53.43930000
"=""2012-02""",56.86480000
"=""2012-03""",59.73810000
"=""2012-04""",59.03940000
"=""2012-05""",54.88300000
"=""2012-06""",56.86900000
"=""2012-07""",57.43630000
"=""2012-08""",60.41450000
"=""2012-09""",60.95130000
"=""2012-10""",57.73360000
"=""2012-11""",58.48910000
"=""2012-12""",58.21920000
"=""2013-01""",59.77450000
"=""2013-02""",59.98010000
"=""2013-03""",61.79500000
"=""2013-04""",63.36300000
"=""2013-05""",65.62980000
"=""2013-06""",64.05850000
"=""2013-07""",68.10310000
"=""2013-08""",67.83350000
"=""2013-09""",71.11180000
"=""2013-10""",74.59170000
"=""2013-11""",77.28720000
"=""2013-12""",79.54730000
