month,adj_close
"=""2002-08""",38.48560000
"=""2002-09""",40.12200000
"=""2002-10""",38.64150000
"=""2002-11""",38.28810000
"=""2002-12""",40.02150000
"=""2003-01""",39.79100000
"=""2003-02""",41.02310000
"=""2003-03""",40.46320000
"=""2003-04""",40.88790000
"=""2003-05""",43.47170000
"=""2003-06""",42.68780000
"=""2003-07""",38.42790000
"=""2003-08""",38.92970000
"=""2003-09""",41.24270000
"=""2003-10""",39.99310000
"=""2003-11""",40.12960000
"=""2003-12""",40.66960000
"=""2004-01""",41.42640000
"=""2004-02""",42.37210000
"=""2004-03""",42.96990000
"=""2004-04""",40.29110000
"=""2004-05""",40.18700000
"=""2004-06""",40.61150000
"=""2004-07""",41.23320000
"=""2004-08""",42.95060000
"=""2004-09""",43.35820000
"=""2004-10""",44.12410000
"=""2004-11""",43.06820000
"=""2004-12""",44.21240000
"=""2005-01""",45.79020000
"=""2005-02""",45.11610000
"=""2005-03""",44.91120000
"=""2005-04""",46.64650000
"=""2005-05""",48.11010000
"=""2005-06""",49.14950000
"=""2005-07""",47.48970000
"=""2005-08""",49.14140000
"=""2005-09""",47.36710000
"=""2005-10""",46.30690000
"=""2005-11""",46.62660000
"=""2005-12""",48.01760000
"=""2006-01""",47.20250000
"=""2006-02""",47.73230000
"=""2006-03""",45.53830000
"=""2006-04""",44.27960000
"=""2006-05""",44.37020000
"=""2006-06""",44.89240000
"=""2006-07""",45.86350000
"=""2006-08""",47.26520000
"=""2006-09""",48.17040000
"=""2006-10""",48.38820000
"=""2006-11""",49.50790000
"=""2006-12""",48.35880000
"=""2007-01""",47.68070000
"=""2007-02""",49.50060000
"=""2007-03""",48.65880000
"=""2007-04""",48.91640000
"=""2007-05""",47.96280000
"=""2007-06""",47.47740000
"=""2007-07""",49.05200000
"=""2007-08""",49.92910000
"=""2007-09""",50.04280000
"=""2007-10""",50.95040000
"=""2007-11""",53.67370000
"=""2007-12""",53.33550000
"=""2008-01""",54.45040000
