month,adj_close
"=""1999-03""",44.26060486
"=""1999-04""",45.31504440
"=""1999-05""",43.89153290
"=""1999-06""",48.61019135
"=""1999-07""",47.74027634
"=""1999-08""",50.35007095
"=""1999-09""",50.77183533
"=""1999-10""",55.46413803
"=""1999-11""",62.00174332
"=""1999-12""",77.08040619
"=""2000-01""",75.65686798
"=""2000-02""",90.05013275
"=""2000-03""",92.36996460
"=""2000-04""",79.92738342
"=""2000-05""",70.12104797
"=""2000-06""",78.82021332
"=""2000-07""",75.44599152
"=""2000-08""",85.72689056
"=""2000-09""",74.86605835
"=""2000-10""",68.92156982
"=""2000-11""",53.13117218
"=""2000-12""",49.24287796
"=""2001-01""",54.24098587
"=""2001-02""",40.02698135
"=""2001-03""",33.02540588
"=""2001-04""",38.93035126
"=""2001-05""",37.73249054
"=""2001-06""",38.55075455
"=""2001-07""",35.22712326
"=""2001-08""",30.89964294
"=""2001-09""",24.44639397
"=""2001-10""",28.59673691
"=""2001-11""",33.44719696
"=""2001-12""",32.82294464
"=""2002-01""",32.48554230
"=""2002-02""",28.49549294
"=""2002-03""",30.41882706
"=""2002-04""",26.76619339
"=""2002-05""",25.34058380
"=""2002-06""",22.01695251
"=""2002-07""",20.11893272
"=""2002-08""",19.81525040
"=""2002-09""",17.47858238
"=""2002-10""",20.70942116
"=""2002-11""",23.38351440
"=""2002-12""",20.55757523
"=""2003-01""",20.61664009
"=""2003-02""",21.22399139
"=""2003-03""",21.29991150
"=""2003-04""",23.15575790
"=""2003-05""",25.12969780
"=""2003-06""",25.26465225
"=""2003-07""",26.82524300
"=""2003-08""",28.16650772
"=""2003-09""",27.34824562
"=""2003-10""",29.67647552
"=""2003-11""",29.84520149
"=""2003-12""",30.75625229
"=""2004-01""",31.28303719
"=""2004-02""",30.86109352
"=""2004-03""",30.24504471
"=""2004-04""",29.34209061
"=""2004-05""",30.84420967
"=""2004-06""",31.84845161
"=""2004-07""",29.44335175
"=""2004-08""",28.70916367
"=""2004-09""",29.65432930
"=""2004-10""",31.13957024
"=""2004-11""",33.01299286
"=""2004-12""",33.68813705
"=""2005-01""",31.86378670
"=""2005-02""",31.71045685
"=""2005-03""",31.15666199
"=""2005-04""",29.80202866
"=""2005-05""",32.44313812
"=""2005-06""",31.33558464
"=""2005-07""",33.75228119
"=""2005-08""",33.24060822
"=""2005-09""",33.64994812
"=""2005-10""",33.14680481
"=""2005-11""",35.16784668
"=""2005-12""",34.46007538
"=""2006-01""",35.90236282
"=""2006-02""",35.13301086
"=""2006-03""",35.84251022
"=""2006-04""",35.79923248
"=""2006-05""",33.20730972
"=""2006-06""",33.16453934
"=""2006-07""",31.75737572
"=""2006-08""",33.27245712
"=""2006-09""",34.79614258
"=""2006-10""",36.46918106
"=""2006-11""",37.71965027
"=""2006-12""",36.96595383
"=""2007-01""",37.79132080
"=""2007-02""",37.15676880
"=""2007-03""",37.32827759
"=""2007-04""",39.43687820
"=""2007-05""",40.68109131
"=""2007-06""",40.84413910
"=""2007-07""",40.81593704
"=""2007-08""",41.96666718
"=""2007-09""",44.14786911
"=""2007-10""",47.28107452
"=""2007-11""",44.08491135
"=""2007-12""",44.00757980
"=""2008-01""",38.81554031
"=""2008-02""",36.94055557
"=""2008-03""",37.60281372
"=""2008-04""",40.63624573
"=""2008-05""",43.04635239
"=""2008-06""",38.88030624
"=""2008-07""",39.15720749
"=""2008-08""",39.72570801
"=""2008-09""",33.51534271
"=""2008-10""",28.34907913
"=""2008-11""",25.09957695
"=""2008-12""",25.63398361
"=""2009-01""",25.08423424
"=""2009-02""",23.76354790
"=""2009-03""",26.17184258
"=""2009-04""",29.63899040
"=""2009-05""",30.59007072
"=""2009-06""",31.45467758
"=""2009-07""",34.15101242
"=""2009-08""",34.65310669
"=""2009-09""",36.57490540
"=""2009-10""",35.49250031
"=""2009-11""",37.74541473
"=""2009-12""",39.64310455
"=""2010-01""",37.14007950
"=""2010-02""",38.84996414
"=""2010-03""",41.80105591
"=""2010-04""",42.78403854
"=""2010-05""",39.62130737
"=""2010-06""",37.11024094
"=""2010-07""",39.95763779
"=""2010-08""",37.90785217
"=""2010-09""",42.80115891
"=""2010-10""",45.62041855
"=""2010-11""",45.54174042
"=""2010-12""",47.61380386
"=""2011-01""",49.05728531
"=""2011-02""",50.60783386
"=""2011-03""",50.31000900
"=""2011-04""",51.82846069
"=""2011-05""",51.19682693
"=""2011-06""",50.04762268
"=""2011-07""",50.99510574
"=""2011-08""",48.41019058
"=""2011-09""",46.15058136
"=""2011-10""",51.04566193
"=""2011-11""",49.67151260
"=""2011-12""",49.17823792
"=""2012-01""",53.52231216
"=""2012-02""",56.95311737
"=""2012-03""",59.72957611
"=""2012-04""",59.13125992
"=""2012-05""",54.96833801
"=""2012-06""",56.82835770
"=""2012-07""",57.52714157
"=""2012-08""",60.51004028
"=""2012-09""",60.87400436
"=""2012-10""",57.82472992
"=""2012-11""",58.58149338
"=""2012-12""",57.98500443
"=""2013-01""",59.86569977
"=""2013-02""",60.07160568
"=""2013-03""",61.74573517
"=""2013-04""",63.45897293
"=""2013-05""",65.72916412
"=""2013-06""",63.95247650
"=""2013-07""",68.20554352
"=""2013-08""",67.93550873
"=""2013-09""",71.00506592
"=""2013-10""",74.74845886
"=""2013-11""",77.40293121
"=""2013-12""",79.41629028
"=""2014-01""",78.13790131
"=""2014-02""",81.82422638
"=""2014-03""",79.73554993
"=""2014-04""",79.66266632
"=""2014-05""",83.23600006
"=""2014-06""",85.60610962
"=""2014-07""",86.85072327
"=""2014-08""",91.20148468
"=""2014-09""",90.29661560
"=""2014-10""",92.90268707
"=""2014-11""",97.12641144
"=""2014-12""",94.59765625
"=""2015-01""",92.97298431
"=""2015-02""",99.68614960
"=""2015-03""",97.11123657
"=""2015-04""",99.20570374
"=""2015-05""",101.43626404
"=""2015-06""",98.68952179
"=""2015-07""",103.42488098
"=""2015-08""",96.36672211
"=""2015-09""",94.01088715
"=""2015-10""",104.95452881
"=""2015-11""",105.59353638
"=""2015-12""",103.59316254
"=""2016-01""",96.72896576
"=""2016-02""",95.21482086
"=""2016-03""",101.43861389
"=""2016-04""",98.49729156
"=""2016-05""",102.80161285
"=""2016-06""",100.19291687
"=""2016-07""",107.64347839
