month,adj_close
"=""2002-07""",36.55689621
"=""2002-08""",38.57233810
"=""2002-09""",40.04292297
"=""2002-10""",38.58254623
"=""2002-11""",38.20256805
"=""2002-12""",39.72932816
"=""2003-01""",39.88031769
"=""2003-02""",40.97175980
"=""2003-03""",40.40205002
"=""2003-04""",40.80537415
"=""2003-05""",43.33892441
"=""2003-06""",42.60219193
"=""2003-07""",38.36517715
"=""2003-08""",38.83717346
"=""2003-09""",41.14642715
"=""2003-10""",39.91069794
"=""2003-11""",40.04922104
"=""2003-12""",40.36465073
"=""2004-01""",41.51201248
"=""2004-02""",42.28462219
"=""2004-03""",42.88549423
"=""2004-04""",40.21670151
"=""2004-05""",40.11290741
"=""2004-06""",40.53591919
"=""2004-07""",41.15088654
"=""2004-08""",42.87007141
"=""2004-09""",43.27329636
"=""2004-10""",44.03246689
"=""2004-11""",42.97747040
"=""2004-12""",43.95324326
"=""2005-01""",45.88237381
"=""2005-02""",45.03684998
"=""2005-03""",44.86043930
"=""2005-04""",46.56813049
"=""2005-05""",48.03520584
"=""2005-06""",49.06994247
"=""2005-07""",47.42239761
"=""2005-08""",49.05770111
"=""2005-09""",47.29602051
"=""2005-10""",46.21543884
"=""2005-11""",46.51126480
"=""2005-12""",47.70410538
"=""2006-01""",47.46688843
"=""2006-02""",47.82290649
"=""2006-03""",45.63917542
"=""2006-04""",44.37082672
"=""2006-05""",44.27964020
"=""2006-06""",44.79931641
"=""2006-07""",45.77256393
"=""2006-08""",47.16636658
"=""2006-09""",48.07017136
"=""2006-10""",48.47785950
"=""2006-11""",49.60266876
"=""2006-12""",48.10745621
"=""2007-01""",47.96947098
"=""2007-02""",49.39406967
"=""2007-03""",48.56640244
"=""2007-04""",49.01140976
"=""2007-05""",47.87939453
"=""2007-06""",47.38170242
"=""2007-07""",48.95853424
"=""2007-08""",49.83059692
"=""2007-09""",49.93516922
"=""2007-10""",50.85144043
"=""2007-11""",53.54631042
"=""2007-12""",53.01821899
"=""2008-01""",54.56436157
"=""2008-02""",54.12774658
"=""2008-03""",55.27275848
"=""2008-04""",53.86920929
"=""2008-05""",52.45403290
"=""2008-06""",53.84524918
"=""2008-07""",53.64887238
"=""2008-08""",55.11698532
"=""2008-09""",55.93037796
"=""2008-10""",54.92091751
"=""2008-11""",62.73888397
"=""2008-12""",71.11087799
"=""2009-01""",62.23214340
"=""2009-02""",61.11046600
"=""2009-03""",63.58247375
"=""2009-04""",59.15691376
"=""2009-05""",56.96138382
"=""2009-06""",57.37704086
"=""2009-07""",57.70958328
"=""2009-08""",58.98808670
"=""2009-09""",60.44881058
"=""2009-10""",58.87130356
"=""2009-11""",59.57920074
"=""2009-12""",55.60227585
"=""2010-01""",57.48554230
"=""2010-02""",57.08697510
"=""2010-03""",55.93254852
"=""2010-04""",57.75886536
"=""2010-05""",60.72376633
"=""2010-06""",64.25057983
"=""2010-07""",63.66372681
"=""2010-08""",68.99337769
"=""2010-09""",67.27191162
"=""2010-10""",64.21701813
"=""2010-11""",63.16633606
"=""2010-12""",60.60523987
"=""2011-01""",59.14342117
"=""2011-02""",59.90848923
"=""2011-03""",59.94369507
"=""2011-04""",61.28579330
"=""2011-05""",63.37903214
"=""2011-06""",61.94523239
"=""2011-07""",64.69544220
"=""2011-08""",70.95566559
"=""2011-09""",80.35119629
"=""2011-10""",77.31118774
"=""2011-11""",78.84524536
"=""2011-12""",81.30909729
"=""2012-01""",81.50257874
"=""2012-02""",79.19614410
"=""2012-03""",75.85037231
"=""2012-04""",79.49234009
"=""2012-05""",86.68179321
"=""2012-06""",85.25704956
"=""2012-07""",88.50382996
"=""2012-08""",87.34042358
"=""2012-09""",85.12612915
"=""2012-10""",84.71719360
"=""2012-11""",85.87899017
"=""2012-12""",83.39466095
"=""2013-01""",81.07511902
"=""2013-02""",81.89749908
